Year,Temp
1990,0.7337
1991,0.6937
1992,0.5037
1993,0.5137
1994,0.6037
1995,0.7337
1996,0.6137
1997,0.7437
1998,0.8937
1999,0.6737
2000,0.6837
2001,0.8237
2002,0.9137
2003,0.9037
2004,0.8237
2005,0.9637
2006,0.9237
2007,0.9537
2008,0.8337
2009,0.9437
2010,1.014
2011,0.8937
2012,0.9337
2013,0.9637
2014,1.034
2015,1.184
2016,1.304
2017,1.214
2018,1.134
2019,1.274
2020,1.265
2021,1.291
2022,1.317
2023,1.344
2024,1.371
2025,1.398
2026,1.425
2027,1.452
2028,1.48
2029,1.508
2030,1.537
2031,1.565
2032,1.592
2033,1.619
2034,1.646
2035,1.672
2036,1.698
2037,1.724
2038,1.75
2039,1.776
2040,1.802
2041,1.828
2042,1.855
2043,1.882
2044,1.909
2045,1.937
2046,1.964
2047,1.992
2048,2.02
2049,2.049
2050,2.077
2051,2.105
2052,2.133
2053,2.161
2054,2.188
2055,2.216
2056,2.243
2057,2.271
2058,2.298
2059,2.326
2060,2.354
2061,2.382
2062,2.411
2063,2.442
2064,2.472
2065,2.504
2066,2.536
2067,2.568
2068,2.601
2069,2.633
2070,2.667
2071,2.7
2072,2.733
2073,2.765
2074,2.798
2075,2.83
2076,2.863
2077,2.895
2078,2.928
2079,2.96
2080,2.993
2081,3.025
2082,3.057
2083,3.088
2084,3.12
2085,3.15
2086,3.181
2087,3.212
2088,3.242
2089,3.273
2090,3.303
2091,3.333
2092,3.363
2093,3.393
2094,3.423
2095,3.454
2096,3.484
2097,3.514
2098,3.544
2099,3.574
2100,3.605
